,bssid,channel,host,iteration,reference_point,rssi,ssid,time,topic,xr,yr
,72:A7:41:9C:8E:55,11,LAUREN,18,RP92,-96,DTE IoT,2025-03-12T04:49:57.8116335Z,esp/topic,520,299
,72:A7:41:9C:8E:55,11,LAUREN,5,RP92,-94,DTE IoT,2025-03-12T04:45:33.0799699Z,esp/topic,520,299
,70:A7:41:DC:8E:55,11,LAUREN,11,RP94,-90,DTE Staff,2025-03-12T03:57:16.189002Z,esp/topic,520,639
,70:A7:41:DC:8E:55,11,LAUREN,12,RP94,-89,DTE Staff,2025-03-12T03:57:38.4047228Z,esp/topic,520,639
,70:A7:41:DC:8E:55,11,LAUREN,17,RP94,-86,DTE Staff,2025-03-12T03:59:39.7479754Z,esp/topic,520,639
,70:A7:41:DC:8E:55,11,LAUREN,2,RP94,-90,DTE Staff,2025-03-12T03:53:39.5347396Z,esp/topic,520,639
,72:A7:41:9C:8E:55,11,LAUREN,11,RP94,-88,DTE IoT,2025-03-12T03:57:11.1825208Z,esp/topic,520,639
,72:A7:41:9C:8E:55,11,LAUREN,12,RP94,-90,DTE IoT,2025-03-12T03:57:43.0177895Z,esp/topic,520,639
,72:A7:41:9C:8E:55,11,LAUREN,13,RP94,-92,DTE IoT,2025-03-12T03:58:04.7119139Z,esp/topic,520,639
,72:A7:41:9C:8E:55,11,LAUREN,14,RP94,-86,DTE IoT,2025-03-12T03:58:27.1307818Z,esp/topic,520,639
,72:A7:41:9C:8E:55,11,LAUREN,15,RP94,-90,DTE IoT,2025-03-12T03:58:49.6021165Z,esp/topic,520,639
,72:A7:41:9C:8E:55,11,LAUREN,16,RP94,-90,DTE IoT,2025-03-12T03:59:15.2584758Z,esp/topic,520,639
,72:A7:41:9C:8E:55,11,LAUREN,18,RP94,-89,DTE IoT,2025-03-12T04:00:03.9835948Z,esp/topic,520,639
,72:A7:41:9C:8E:55,11,LAUREN,19,RP94,-88,DTE IoT,2025-03-12T04:00:26.0751085Z,esp/topic,520,639
,72:A7:41:9C:8E:55,11,LAUREN,3,RP94,-90,DTE IoT,2025-03-12T03:54:10.3549057Z,esp/topic,520,639
,72:A7:41:9C:8E:55,11,LAUREN,5,RP94,-89,DTE IoT,2025-03-12T03:55:00.9367141Z,esp/topic,520,639
,72:A7:41:9C:8E:55,11,LAUREN,7,RP94,-89,DTE IoT,2025-03-12T03:55:43.7826316Z,esp/topic,520,639
,72:A7:41:9C:8E:55,11,LAUREN,8,RP94,-90,DTE IoT,2025-03-12T03:56:06.3784857Z,esp/topic,520,639
,70:A7:41:DC:8E:55,11,LAUREN,1,RP97,-85,DTE Staff,2025-03-12T04:08:56.8358536Z,esp/topic,720,299
,70:A7:41:DC:8E:55,11,LAUREN,10,RP97,-83,DTE Staff,2025-03-12T04:12:52.7017853Z,esp/topic,720,299
,70:A7:41:DC:8E:55,11,LAUREN,14,RP97,-84,DTE Staff,2025-03-12T04:14:19.084301Z,esp/topic,720,299
,70:A7:41:DC:8E:55,11,LAUREN,18,RP97,-83,DTE Staff,2025-03-12T04:15:47.2181838Z,esp/topic,720,299
